"name","sex","year_of_birth","nationality","military_civilian","total_number_of_missions","total_hrs_sum","sex_color"
"Newman, James H.","male",1956,"U.S.","civilian",4,1032,"blue"
"Nicollier, Claude","male",1944,"Switzerland","civilian",4,1184.07,"blue"
"Nie Haisheng","male",1964,"China","military",2,466,"blue"
"Nikolayev, Andriyan","male",1929,"U.S.S.R/Russia","military",2,519.33,"blue"
"Noguchi, Soichi","male",1965,"Japan","civilian",2,4251.1,"blue"
"Noriega, Carlos I.","male",1959,"U.S.","military",2,481,"blue"
"Novitski, Oleg","male",1971,"U.S.S.R/Russia","military",2,8169.83,"blue"
"Nowak, Lisa M.","female",1963,"U.S.","military",1,306,"pink"
"Nyberg, Karen L.","female",1969,"U.S.","civilian",2,4320,"pink"
"Ochoa, Ellen","female",1958,"U.S.","civilian",4,978,"pink"
"Ockels, Wubbo Johannes","male",1946,"Netherland","civilian",1,168.73,"blue"
"Oefelein, William A.","male",1965,"U.S.","military",1,308,"blue"
"Olivas, John D.","male",1965,"U.S.","civilian",2,668,"blue"
"Onishi, Takuya","male",1975,"Japan","civilian",1,6902.35,"blue"
"Onufrienko, Yuri","male",1961,"U.S.S.R/Russia","military",2,9350.77,"blue"
"Oswald, Stephen S.","male",1951,"U.S.","military",3,814,"blue"
"Ovchinin, Aleksey","male",1971,"U.S.S.R/Russia","military",3,8995.75,"blue"
"Overmyer, Robert F.","male",1936,"U.S.","military",2,290,"blue"
"Padalka, Gennady","male",1958,"U.S.S.R/Russia","military",5,21083.52,"blue"
"Pailes, William Arthur","male",1936,"U.S.","military",1,98.11,"blue"
"Parazynski, Scott E.","male",1961,"U.S.","civilian",5,1379,"blue"
"Parise, Ronald Anthony","male",1951,"U.S.","civilian",2,614.69,"blue"
"Parker, Robert A. R.","male",1936,"U.S.","civilian",2,463,"blue"
"Parmitano, Luca","male",1976,"Italy","military",2,8293.31,"blue"
"Patrick, Nicholas J. M.","male",1964,"U.K./U.S.","civilian",2,638,"blue"
"Patsayev, Viktor","male",1933,"U.S.S.R/Russia","civilian",1,570.35,"blue"
"Pawelczyk, James Anthony","male",1960,"U.S.","civilian",1,382.31,"blue"
"Payette, Julie","female",1963,"Canada","civilian",2,611.98,"pink"
"Peake, Timothy Nigel","male",1972,"U.K.","military",1,4462,"blue"
